metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
40820,"Ruston, LA",22013,"Bienville Parish, Louisiana",13806,93590,485
34180,"Moses Lake, WA",53025,"Grant County, Washington",93420,93420,486
44980,"Sunbury, PA",42097,"Northumberland County, Pennsylvania",93038,93038,487
25740,"Helena, MT",30049,"Lewis and Clark County, Montana",66290,92801,488
25740,"Helena, MT",30007,"Broadwater County, Montana",5755,92801,488
25740,"Helena, MT",30043,"Jefferson County, Montana",11625,92801,488
25740,"Helena, MT",30023,"Deer Lodge County, Montana",9131,92801,488
35420,"New Philadelphia-Dover, OH",39157,"Tuscarawas County, Ohio",92531,92531,489
10140,"Aberdeen, WA",53049,"Pacific County, Washington",20940,92394,490
10140,"Aberdeen, WA",53027,"Grays Harbor County, Washington",71454,92394,490
14660,"Brainerd, MN",27021,"Cass County, Minnesota",28810,92315,491
14660,"Brainerd, MN",27035,"Crow Wing County, Minnesota",63505,92315,491
43220,"Shelton, WA",53031,"Jefferson County, Washington",30524,92093,492
43220,"Shelton, WA",53045,"Mason County, Washington",61569,92093,492
44660,"Stillwater, OK",40103,"Noble County, Oklahoma",11421,92055,493
44660,"Stillwater, OK",40119,"Payne County, Oklahoma",80634,92055,493
36340,"Oil City, PA",42031,"Clarion County, Pennsylvania",38747,91627,494
36340,"Oil City, PA",42121,"Venango County, Pennsylvania",52880,91627,494
34460,"Mount Sterling, KY",21175,"Morgan County, Kentucky",13281,91044,495
34460,"Mount Sterling, KY",21237,"Wolfe County, Kentucky",7251,91044,495
34460,"Mount Sterling, KY",21173,"Montgomery County, Kentucky",27550,91044,495
34460,"Mount Sterling, KY",21205,"Rowan County, Kentucky",24392,91044,495
34460,"Mount Sterling, KY",21165,"Menifee County, Kentucky",6381,91044,495
34460,"Mount Sterling, KY",21011,"Bath County, Kentucky",12189,91044,495
42420,"Scottsbluff, NE",31007,"Banner County, Nebraska",728,90747,496
42420,"Scottsbluff, NE",31157,"Scotts Bluff County, Nebraska",36509,90747,496
42420,"Scottsbluff, NE",31105,"Kimball County, Nebraska",3688,90747,496
42420,"Scottsbluff, NE",31045,"Dawes County, Nebraska",8972,90747,496
42420,"Scottsbluff, NE",31013,"Box Butte County, Nebraska",11200,90747,496
42420,"Scottsbluff, NE",31165,"Sioux County, Nebraska",1256,90747,496
42420,"Scottsbluff, NE",31033,"Cheyenne County, Nebraska",10012,90747,496
42420,"Scottsbluff, NE",31123,"Morrill County, Nebraska",4903,90747,496
42420,"Scottsbluff, NE",56015,"Goshen County, Wyoming",13479,90747,496
33180,"Middlesborough, KY",21095,"Harlan County, Kentucky",27548,90093,497
33180,"Middlesborough, KY",21013,"Bell County, Kentucky",27469,90093,497
33180,"Middlesborough, KY",21131,"Leslie County, Kentucky",10648,90093,497
33180,"Middlesborough, KY",51105,"Lee County, Virginia",24428,90093,497
46980,"Vicksburg, MS",22107,"Tensas Parish, Louisiana",4771,89080,498
46980,"Vicksburg, MS",28055,"Issaquena County, Mississippi",1296,89080,498
46980,"Vicksburg, MS",22035,"East Carroll Parish, Louisiana",7318,89080,498
46980,"Vicksburg, MS",28149,"Warren County, Mississippi",47510,89080,498
46980,"Vicksburg, MS",28021,"Claiborne County, Mississippi",9106,89080,498
46980,"Vicksburg, MS",28063,"Jefferson County, Mississippi",7463,89080,498
46980,"Vicksburg, MS",22065,"Madison Parish, Louisiana",11616,89080,498
48220,"Weatherford, OK",40015,"Caddo County, Oklahoma",29437,88474,499
48220,"Weatherford, OK",40011,"Blaine County, Oklahoma",9680,88474,499
48220,"Weatherford, OK",40149,"Washita County, Oklahoma",11550,88474,499
48220,"Weatherford, OK",40039,"Custer County, Oklahoma",29169,88474,499
